Código Localidad;Barrio;Corregimiento;Municipio;Departamento;País
114434;VDA EL TAPON;CGTO PELAYITO;SAN PELAYO;CORDOBA;COLOMBIA
114436;LOS ALMENDROS 3 ETAPA;SOLEDAD;SOLEDAD;ATLANTICO;COLOMBIA
32180;CAS LAS MOHOSAS;CGTO SEVER?;CERETE;CORDOBA;COLOMBIA
114611;EL CARMEN;LA PE¥A (GUAJARO);SABANALARGA;ATLANTICO;COLOMBIA
115089;MARCELO;ALTOS DEL ROSARIO;ALTOS DEL ROSARIO;BOLIVAR;COLOMBIA
115090;CAS PATIO BONITO;CGTO CATALINA;SAHAGUN;CORDOBA;COLOMBIA
115300;LA MONTA¥A;SEVILLA;ZONA BANANERA;MAGDALENA;COLOMBIA
115414;VDA LAS CLARITAS;CGTO RIO VERDE(SANTA FE DEL CL;PUERTO LIBERTADOR;CORDOBA;COLOMBIA
8521;PALESTINA SECTOR LA PRIMAVERA;CARTAGENA;CARTAGENA;BOLIVAR;COLOMBIA
11740;LA FELICIDAD;PIOJO;PIOJO;ATLANTICO;COLOMBIA
24830;NUEVA ESPERANZA;ARROYOHONDO;ARROYOHONDO;BOLIVAR;COLOMBIA
110419;EL CAMPESINO;CGTO SIBARCO;BARANOA;ATLANTICO;COLOMBIA
110431;LOS ALMENDROS;SAN JUAN DE TOCAGUAS;LURUACO;ATLANTICO;COLOMBIA
110754;COCHORO;REPELON;REPELON;ATLANTICO;COLOMBIA
110756;LA CLARIDAD;REPELON;REPELON;ATLANTICO;COLOMBIA
110761;SAN BENITO;REPELON;REPELON;ATLANTICO;COLOMBIA
111757;SAN BASILIO;SABANAS;EL PI¥ON;MAGDALENA;COLOMBIA
113884;CALLE CENTRAL;CGTO SAN RAFAEL;OVEJAS;SUCRE;COLOMBIA
113885;LA CEIBA;CGTO SAN RAFAEL;OVEJAS;SUCRE;COLOMBIA
115166;VDA ESTACION;EL PASO;EL PASO;CESAR;COLOMBIA
8481;TORIBIO;SANTA MARTA;SANTA MARTA;MAGDALENA;COLOMBIA
15350;COLOMBIA;ARACATACA;ARACATACA;MAGDALENA;COLOMBIA
27650;VIA A NUMANCIA;VEREDA SAN JOSE;MAGANGUE;MAGANGUE;COLOMBIA
29317;CASERIO BURRUSCO;MARTILLO;PONEDERA;ATLANTICO;COLOMBIA
29378;SAN ROQUE SUR;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
29448;LAS TABLAS;LAS TABLAS;LURUACO;ATLANTICO;COLOMBIA
30598;EL CIELO;EL CIELO;TUBARA;ATLANTICO;COLOMBIA
29449;CIENAGUITA;LAS TABLAS;LURUACO;ATLANTICO;COLOMBIA
30686;MARATEA 1;EDO SANTOS (LA PLAYA);BARRANQUILLA;ATLANTICO;COLOMBIA
39930;PAJONAL;VDA PAJONAL (CGTO BUENOS AIRES;SAN PELAYO;CORDOBA;COLOMBIA
104190;LOS MORENOS;LOS MORENOS;RIOHACHA;LA GUAJIRA;COLOMBIA
105400;TOROKY;TOROKY;RIOHACHA;LA GUAJIRA;COLOMBIA
107025;VILLA DEL RIO II;ARACATACA;ARACATACA;MAGDALENA;COLOMBIA
107506;VDA JARAGUAY EL BUHO;CGTO JARAGUAY CENTRAL;VALENCIA;CORDOBA;COLOMBIA
107527;URB. ALTOS DE ZIRUMA 4;VALLEDUPAR;VALLEDUPAR;CESAR;COLOMBIA
110415;LA PAZ;PITAL DE MEGUA;BARANOA;ATLANTICO;COLOMBIA
110422;EL FOGON;BOHORQUEZ;CAMPO DE LA CRUZ;ATLANTICO;COLOMBIA
110433;EL ENCANTO;PITAL DE CARLIN;POLONUEVO;ATLANTICO;COLOMBIA
110441;VILLA CAMPESTRE;CGTO SALGAR;PUERTO COLOMBIA;ATLANTICO;COLOMBIA
110729;MUNDO NUEVO;MANATI;MANATI;ATLANTICO;COLOMBIA
110734;BARRIO ABAJO;PALMAR DE VARELA;PALMAR DE VARELA;ATLANTICO;COLOMBIA
111083;MONTE NEGRO;MAICAO;MAICAO;LA GUAJIRA;COLOMBIA
14947;JESUS DEL MONTE 1;CERRO SAN ANTONIO;CERRO DE SAN ANTONIO;MAGDALENA;COLOMBIA
112788;VDA LA POZONA ICA;CGTO VENADO CAMPANITO.;CERETE;CORDOBA;COLOMBIA
112931;VDA MARIMBA;CGTO LOMA VERDE;MONTERIA;CORDOBA;COLOMBIA
114028;JUANCHO LOPEZ;CGTO LOS VIDALES;SAN ANDRES SOTAVENTO;CORDOBA;COLOMBIA
114029;CERRO PAJA;CGTO LOS VIDALES;SAN ANDRES SOTAVENTO;CORDOBA;COLOMBIA
114040;CIELO AZUL;VERD. CIELO AZUL;LOS PALMITOS;SUCRE;COLOMBIA
114041;PUEBLO NUEVO;CGTO CANUTAL;OVEJAS;SUCRE;COLOMBIA
8411;URB.COSTA NORTE;CARTAGENA;CARTAGENA;BOLIVAR;COLOMBIA
8421;20 DE ABRIL;SANTA MARTA;SANTA MARTA;MAGDALENA;COLOMBIA
8478;STM;SANTA MARTA;SANTA MARTA;MAGDALENA;COLOMBIA
110372;SAL SI PUEDES;CARTAGENA;CARTAGENA;BOLIVAR;COLOMBIA
110532;EL CAMPESINO;SANTA LUCIA;SANTA LUCIA;ATLANTICO;COLOMBIA
110703;LOS ROBLES;CANDELARIA;CANDELARIA;ATLANTICO;COLOMBIA
114106;BARRIO PRIMAVERA II;PALMAR DE VARELA;PALMAR DE VARELA;ATLANTICO;COLOMBIA
114105;BARRIO URB PRIMAVERA I;PALMAR DE VARELA;PALMAR DE VARELA;ATLANTICO;COLOMBIA
112474;VENADO CAMPANITO;CGTO VENADO CAMPANITO;CERETE;CORDOBA;COLOMBIA
112472;VDA LAS BABILLAS;CGTO VENADO CAMPANITO;CERETE;CORDOBA;COLOMBIA
115444;LOS ALTOS;LOS ALTOS;FONSECA;LA GUAJIRA;COLOMBIA
115510;MACAYEPO;MACAYEPO;EL CARMEN DE BOLIVAR;BOLIVAR;COLOMBIA
115528;VILLA OLIMPICA;CANALETE;CANALETE;CORDOBA;COLOMBIA
115538;VDA EL QUINDIO;CGTO NUEVA LUCIA;MONTERIA;CORDOBA;COLOMBIA
115610;ALAMOS DEL NORTE;CGTO LA LOMA;EL PASO;CESAR;COLOMBIA
115646;TOBERIN;BOGOTA;BOGOTA;CUNDINAMARCA;COLOMBIA
115652;SANTA BIBIANA;BOGOTA;BOGOTA;CUNDINAMARCA;COLOMBIA
115655;EL POBLADO;MEDELLIN;MEDELLIN;ANTIOQUIA;COLOMBIA
115656;BOSTON;MEDELLIN;MEDELLIN;ANTIOQUIA;COLOMBIA
115782;VILLA NURIS;AGUSTIN CODAZZI;AGUSTIN CODAZZI;CESAR;COLOMBIA
115790;VDA LOS NARANJOS;CGTO CARACOLICITO;EL COPEY;CESAR;COLOMBIA
115799;SANTO DOMINGO;CGTO CUATRO VIENTOS;EL PASO;CESAR;COLOMBIA
115817;SAN VICTORINO;BOGOTA;BOGOTA;CUNDINAMARCA;COLOMBIA
115949;MI REFUGIO;MI REFUGIO;SANTIAGO DE TOLU;SUCRE;COLOMBIA
116003;LA LAGUANA;VDA LA LAGUNA;LA PAZ;CESAR;COLOMBIA
116004;VDA SAN ISIDRO;CGTO PLAZA BONITA;PLANETA RICA;CORDOBA;COLOMBIA
116005;BUENA VISTA;VDA BUENA VISTA;BECERRIL;CESAR;COLOMBIA
116006;LA CONQUISTA;VDA LA CONQUISTA;LA JAGUA DE IBIRICO;CESAR;COLOMBIA
116014;GIRASOL;MEDELLIN;MEDELLIN;ANTIOQUIA;COLOMBIA
116051;URB. ARCOS DE CARACOLI;MONTERIA;MONTERIA;CORDOBA;COLOMBIA
116095;SBN 7 DE JULIO;BUENAVISTA;BUENAVISTA;CORDOBA;COLOMBIA
116146;LA ESTACION;VDA LA ESTACION;ASTREA;CESAR;COLOMBIA
116191;LA FLORA;CALI;CALI;VALLE DEL CAUCA;COLOMBIA
116417;VDA BRAZO IZQUIERDO;CGTO VERSALLES;SAN JOSE DE URE;CORDOBA;COLOMBIA
116442;BARRIO CHINO;CGTO RINCON DEL MAR;SAN ONOFRE;SUCRE;COLOMBIA
116467;LAS PALMERAS;EL RETEN;EL RETEN;MAGDALENA;COLOMBIA
